name,url,duration,test_type,remote_support,adaptive_support,combined_text
Industrial - Entry Level 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/,0,[],No,No,Industrial - Entry Level 7.0 Solution []
Industrial - Entry Level 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/,0,[],No,No,Industrial - Entry Level 7.1 (Americas) []
Industrial - Entry Level 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/,0,[],No,No,Industrial - Entry Level 7.1 (International) []
Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,0,[],No,No,Industrial - Professional and Skilled 7.0 Solution []
Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/,0,[],No,No,Industrial - Semi-skilled 7.1 (Americas) []
Industrial - Semi-skilled 7.1 (International),https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,0,[],No,No,Industrial - Semi-skilled 7.1 (International) []
Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/,0,[],No,No,Industrial Professional and Skilled 7.1 (Americas) []
Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/,0,[],No,No,Industrial Professional and Skilled 7.1 Solution []
Installation and Repair Technician Solution,https://www.shl.com/products/product-catalog/view/installation-and-repair-technician-solution/,0,[],No,No,Installation and Repair Technician Solution []
Insurance Account Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-account-manager-solution/,0,[],No,No,Insurance Account Manager Solution []
Insurance Administrative Assistant Solution,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,0,[],No,No,Insurance Administrative Assistant Solution []
Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/insurance-agent-solution/,0,[],No,No,Insurance Agent Solution []
Insurance Director Solution,https://www.shl.com/products/product-catalog/view/insurance-director-solution/,0,[],No,No,Insurance Director Solution []
Insurance Sales Manager Solution,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,0,[],No,No,Insurance Sales Manager Solution []
Manager - Short Form,https://www.shl.com/products/product-catalog/view/manager-short-form/,0,[],No,No,Manager - Short Form []
Manager + 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution-3955/,0,[],No,No,Manager + 7.0 Solution []
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,0,[],No,No,Manager + 7.1 (Americas) []
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,0,[],No,No,Manager + 7.1 (International) []
Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/manager-7-0-solution/,0,[],No,No,Manager 7.0 Solution []
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,0,[],No,No,Manager 7.1 (Americas) []
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,0,[],No,No,Manager 7.1 (International) []
Manager 8.0 JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/,0,[],No,No,Manager 8.0 JFA []
Manager 8.0+ JFA,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,0,[],No,No,Manager 8.0+ JFA []
Manufacturing Production Team Member,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/,0,[],No,No,Manufacturing Production Team Member []
Manufacturing Skilled Maintenance Worker,https://www.shl.com/products/product-catalog/view/manufacturing-skilled-maintenance-worker/,0,[],No,No,Manufacturing Skilled Maintenance Worker []
Network Engineer/Analyst Solution,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/,0,[],No,No,Network Engineer/Analyst Solution []
Nurse Leader Solution,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/,0,[],No,No,Nurse Leader Solution []
Nurse Solution,https://www.shl.com/products/product-catalog/view/nurse-solution/,0,[],No,No,Nurse Solution []
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,0,[],No,No,Manager + 7.1 (Americas) []
Manager + 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,0,[],No,No,Manager + 7.1 (International) []
