name,url,duration,test_type,remote_support,adaptive_support,combined_text
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,0,[],No,No,Stock Clerk Solution []
Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/,0,[],No,No,Reservation Agent Solution []
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,0,[],No,No,Supervisor 7.1 (International) []
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,0,[],No,No,Store Manager 7.1 (Americas) []
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,0,[],No,No,General Entry Level – Data Entry 7.0 Solution []
Sales Professional 7.1 (Americas),https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,0,[],No,No,Sales Professional 7.1 (Americas) []
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,0,[],No,No,Bilingual Spanish Reservation Agent Solution []
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,0,[],No,No,Entry Level Customer Service 7.1 (South Africa) []
Nursing Assistant Solution,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/,0,[],No,No,Nursing Assistant Solution []
Transcriptionist Solution,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,0,[],No,No,Transcriptionist Solution []
Insurance Administrative Assistant Solution,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,0,[],No,No,Insurance Administrative Assistant Solution []
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,0,[],No,No,Bank Administrative Assistant - Short Form []
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,0,[],No,No,Manager + 7.1 (Americas) []
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,0,[],No,No,Administrative Professional - Short Form []
Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,0,[],No,No,Claims/Operations Supervisor Solution []
Professional 7.1 (International),https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/,0,[],No,No,Professional 7.1 (International) []
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,0,[],No,No,Support Supervisor Solution []
Executive - Short Form,https://www.shl.com/products/product-catalog/view/executive-short-form/,0,[],No,No,Executive - Short Form []
Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,0,[],No,No,Manager 7.1 (Americas) []
Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/manager-7-1-solution/,0,[],No,No,Manager 7.1 (International) []
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,0,[],No,No,Supervisor 7.0 Solution []
Entry Level Customer Service 7.1 (Americas),https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/,0,[],No,No,Entry Level Customer Service 7.1 (Americas) []
Workplace Safety - Individual 7.0 Solution,https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-0-solution/,0,[],No,No,Workplace Safety - Individual 7.0 Solution []
Teller 7.0,https://www.shl.com/products/product-catalog/view/teller-7-0/,0,[],No,No,Teller 7.0 []
Graduate 7.1 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/graduate-7-1-job-focused-assessment/,0,[],No,No,Graduate 7.1 Job Focused Assessment []
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,0,[],No,No,Bank Operations Supervisor - Short Form []
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,0,[],No,No,Bilingual Spanish Reservation Agent Solution []
Sales Director Solution,https://www.shl.com/products/product-catalog/view/sales-director-solution/,0,[],No,No,Sales Director Solution []
Workplace Safety - Individual 7.1 (Americas),https://www.shl.com/products/product-catalog/view/workplace-safety-individual-7-1-solution/,0,[],No,No,Workplace Safety - Individual 7.1 (Americas) []
Manager + 7.1 (Americas),https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/,0,[],No,No,Manager + 7.1 (Americas) []
